index,ess
209261.t0001,0
209261.t0002,0
209261.t0003,0
209261.t0004,0
209261.t0012,1
209261.t0029,0
209261.t0047,1
209261.t0066,1
209261.t0095,0
209261.t0096,1
209261.t0099,0
209261.t0110,0
209261.t0116,0
209261.t0117,0
209261.t0120,0
209261.t0121,0
209261.t0125,1
209261.t0126,1
209261.t0130,1
209261.t0133,1
209261.t0135,1
209261.t0136,1
209261.t0140,1
209261.t0141,0
209261.t0192,0
209261.t0197,0
209261.t0198,0
209261.t0214,1
209261.t0219,1
209261.t0223,1
209261.t0227,1
209261.t0233,1
209261.t0238,1
209261.t0242,0
209261.t0262,0
209261.t0263,0
209261.t0269,0
209261.t0275,1
209261.t0279,0
209261.t0280,1
209261.t0288,0
209261.t0296,0
209261.t0301,1
209261.t0311,0
209261.t0330,0
209261.t0333,1
209261.t0334,1
209261.t0347,0
209261.t0358,0
209261.t0370,1
209261.t0376,1
209261.t0382,0
209261.t0421,0
209261.t0425,0
209261.t0431,1
209261.t0455,0
209261.t0479,0
209261.t0480,0
209261.t0482,0
209261.t0494,0
209261.t0495,0
209261.t0499,1
209261.t0504,0
209261.t0518,0
209261.t0533,0
209261.t0553,0
209261.t0566,0
209261.t0568,0
209261.t0570,0
209261.t0575,0
209261.t0578,0
209261.t0588,1
209261.t0597,0
209261.t0627,0
209261.t0658,0
209261.t0659,0
209261.t0662,1
209261.t0701,1
209261.t0748,0
209261.t0764,0
209261.t0768,0
209261.t0782,0
209261.t0793,0
209261.t0794,0
209261.t0800,0
209261.t0801,0
209261.t0802,0
209261.t0815,0
209261.t0882,0
209261.t0883,0
209261.t0930,0
209261.t0968,1
209261.t0972,0
209261.t0977,0
209261.t0979,0
209261.t0987,0
209261.t1033,0
209261.t1041,0
209261.t1042,0
209261.t1045,0
209261.t1051,0
209261.t1052,0
209261.t1070,0
209261.t1097,1
209261.t1100,1
209261.t1101,0
209261.t1103,0
209261.t1115,0
209261.t1133,0
209261.t1147,0
209261.t1173,0
209261.t1180,0
209261.t1182,0
209261.t1208,0
209261.t1213,1
209261.t1233,0
209261.t1242,0
209261.t1245,0
209261.t1303,0
209261.t1341,0
209261.t1435,0
209261.t1467,0
209261.t1470,0
209261.t1482,0
209261.t1500,0
209261.t1507,0
209261.t1544,0
209261.t1558,0
209261.t1569,0
209261.t1633,0
209261.t1634,0
209261.t1635,0
209261.t1636,0
209261.t1637,0
209261.t1667,0
209261.t1685,0
209261.t1688,1
209261.t1691,0
209261.t1719,1
209261.t1720,1
209261.t1722,0
209261.t1750,1
209261.t1785,0
209261.t1805,0
209261.t1840,0
209261.t1859,0
209261.t1935,0
209261.t1936,0
209261.t1954,1
209261.t1956,0
209261.t1957,0
209261.t1970,0
209261.t1974,0
209261.t1977,0
209261.t1979,0
209261.t1988,0
209261.t1990,0
209261.t1997,0
209261.t2037,0
209261.t2039,0
209261.t2040,0
209261.t2043,0
209261.t2044,0
209261.t2081,0
209261.t2082,0
209261.t2094,0
209261.t2128,0
209261.t2129,0
209261.t2132,0
209261.t2137,0
209261.t2138,0
209261.t2140,1
209261.t2141,0
209261.t2142,0
209261.t2166,0
209261.t2178,0
209261.t2184,0
209261.t2195,0
209261.t2207,1
209261.t2221,1
209261.t2233,0
209261.t2234,0
209261.t2238,0
209261.t2260,0
209261.t2261,0
209261.t2265,0
209261.t2273,0
209261.t2321,1
209261.t2324,1
209261.t2326,1
209261.t2328,0
209261.t2332,0
209261.t2373,0
209261.t2374,0
209261.t2376,1
209261.t2387,0
209261.t2391,0
209261.t2395,0
209261.t2406,0
209261.t2407,0
209261.t2413,0
209261.t2421,0
209261.t2445,1
209261.t2446,1
209261.t2447,1
209261.t2448,0
209261.t2459,0
209261.t2472,0
209261.t2478,0
209261.t2528,0
209261.t2530,0
209261.t2535,0
209261.t2622,0
209261.t2624,0
209261.t2687,0
209261.t2714,0
209261.t2727,1
209261.t2728,1
209261.t2729,0
209261.t2730,1
209261.t2731,0
209261.t2810,0
209261.t2822,0
209261.t2823,0
209261.t2832,1
209261.t2847,0
209261.t2850,0
209261.t2853,1
209261.t2875,0
209261.t2877,0
209261.t2879,0
209261.t2893,0
209261.t2900,0
209261.t2902,0
209261.t2912,0
209261.t2913,0
209261.t2923,0
209261.t2958,1
209261.t2959,1
209261.t2960,0
209261.t2961,0
209261.t2962,0
209261.t2979,0
209261.t2980,0
209261.t2984,0
209261.t2985,0
209261.t3002,1
209261.t3006,0
209261.t3009,1
209261.t3012,0
209261.t3016,0
209261.t3018,0
