,degree_centrality,eigenvector_centrality,closeness_centrality,betweenness_centrality,subgraph_centrality,load_centrality,harmonic_centrality,reaching_centrality,clustering_centrality,pagerank
388919.SSA_0001,0.10795202132385606,0.04605057783849663,0.5045391022831963,0.0009291115375064106,2.8477512003510695e+79,0.0008797836421819055,1211.7499999999905,0.5383163038649431,0.2570486004829439,1045.0
388919.SSA_0002,0.11505997334517991,0.04595180671222496,0.5057984465366828,0.0013289169797245062,2.8354684246453122e+79,0.0012608733646733282,1218.74999999999,0.541426032874272,0.23016371853581155,2083.0
388919.SSA_0005,0.12661039537983118,0.053571518205989266,0.510548271618681,0.0012958678905517682,3.853950928115179e+79,0.001239662671067935,1234.249999999991,0.54831186139493,0.24796145292809488,2135.0
388919.SSA_0006,0.1030653043091959,0.04140483081577979,0.5048819374602856,0.001478243072804755,2.302133303654453e+79,0.0014628983719402846,1208.5833333333248,0.5369095216940566,0.2280564263322884,1972.0
388919.SSA_0008,0.09373611728120834,0.03859695203192673,0.5005734906551002,0.0007061488431276163,2.0004290359728033e+79,0.0006783050379469558,1195.0833333333242,0.5309121871760639,0.25199729180771835,1076.0
388919.SSA_0009,0.03331852509995557,0.010897890496674823,0.4613107934369125,0.0001631776035190868,1.5947675209750159e+78,0.0001795652753477965,1086.7500000000023,0.48278542869835395,0.209009009009009,480.0
388919.SSA_0010,0.04264771212794313,0.01589755272324401,0.46535568974679775,0.00018497110704088012,3.3938619007904925e+78,0.0001921702919434562,1100.999999999997,0.489115948467343,0.23859649122807017,447.0
388919.SSA_0012,0.04264771212794313,0.00893664821957674,0.4727579541648274,0.0004909184753393674,1.0723483340468194e+78,0.0005186878064076774,1113.2499999999964,0.49455797423366593,0.14473684210526316,1300.0
388919.SSA_0013,0.1008440693025322,0.038362885986992966,0.5033996734162515,0.00100607040468652,1.976234681799588e+79,0.0009827236787594675,1204.7499999999914,0.5352065748556142,0.20217535378737672,2006.0
388919.SSA_0014,0.08174144824522434,0.02938632874620625,0.49315348537326575,0.0007137417322983036,1.159584084417584e+79,0.0006975668950053596,1174.99999999999,0.5219902265659634,0.19517700166310287,1675.0
388919.SSA_0015,0.14127054642381162,0.05647210195916687,0.5211722595013237,0.002205300521203311,4.282442936331103e+79,0.002075071084286523,1259.9999999999923,0.55975122167925,0.222546277007321,2206.0
388919.SSA_0032,0.09018214127054643,0.035763369683685584,0.495235226369065,0.0007309397905070199,1.717446667039781e+79,0.0006843992292227268,1185.1666666666576,0.5265067377461802,0.24498853826269326,1298.0
388919.SSA_0033,0.07952021323856064,0.030464191061457025,0.490764807108578,0.0005953052944858523,1.246186215269253e+79,0.000563438854098598,1169.9166666666565,0.5197319709758549,0.23162387797376185,1147.0
388919.SSA_0063,0.11728120835184362,0.04664466486992191,0.5107822534113569,0.0014089865811017467,2.9216063607386633e+79,0.0012952615390207796,1227.666666666659,0.5453872353028236,0.2273303375964973,2091.0
388919.SSA_0065,0.05908485117725455,0.015462826057510468,0.4780299708100281,0.0012166269241844162,3.210554402298727e+78,0.0012099033323097672,1134.2499999999923,0.5038871612616512,0.12235133287764867,1911.0
388919.SSA_0100,0.15859617947578852,0.058391171713010726,0.5230065119397376,0.003621110977562047,4.578312027569741e+79,0.0033376944083034227,1275.5833333333235,0.5666740707833511,0.18901268372517546,2236.0
388919.SSA_0104,0.11594846734784539,0.048818189368098196,0.5074103696533488,0.0009730098566646488,3.200382989986748e+79,0.0009116234239260744,1221.6666666666579,0.5427217532948262,0.2452991452991453,2040.0
388919.SSA_0106,0.10217681030653043,0.04784477615367618,0.49811257070104165,0.0005483808994998589,3.074284478889893e+79,0.0005199052749679145,1197.9999999999898,0.5322079075966165,0.36749572811847353,1799.0
