index,ess
388919.SSA_0001,1
388919.SSA_0002,1
388919.SSA_0005,0
388919.SSA_0006,1
388919.SSA_0008,0
388919.SSA_0009,0
388919.SSA_0010,1
388919.SSA_0012,0
388919.SSA_0013,1
388919.SSA_0014,0
388919.SSA_0015,0
388919.SSA_0032,0
388919.SSA_0033,0
388919.SSA_0063,1
388919.SSA_0065,0
388919.SSA_0100,1
388919.SSA_0104,0
388919.SSA_0106,1
388919.SSA_0107,1
388919.SSA_0110,1
388919.SSA_0111,1
388919.SSA_0114,1
388919.SSA_0117,1
388919.SSA_0119,1
388919.SSA_0122,1
388919.SSA_0123,1
388919.SSA_0130,0
388919.SSA_0131,1
388919.SSA_0132,1
388919.SSA_0138,0
388919.SSA_0176,1
388919.SSA_0177,1
388919.SSA_0189,0
388919.SSA_0200,1
388919.SSA_0212,0
388919.SSA_0225,1
388919.SSA_0226,1
388919.SSA_0233,0
388919.SSA_0250,0
388919.SSA_0262,0
388919.SSA_0312,1
388919.SSA_0318,0
388919.SSA_0350,0
388919.SSA_0415,0
388919.SSA_0416,0
388919.SSA_0438,1
388919.SSA_0448,0
388919.SSA_0456,0
388919.SSA_0467,0
388919.SSA_0481,0
388919.SSA_0541,0
388919.SSA_0543,1
388919.SSA_0549,0
388919.SSA_0587,0
388919.SSA_0605,0
388919.SSA_0625,1
388919.SSA_0631,0
388919.SSA_0635,0
388919.SSA_0637,0
388919.SSA_0642,0
388919.SSA_0649,0
388919.SSA_0650,0
388919.SSA_0653,1
388919.SSA_0655,0
388919.SSA_0656,1
388919.SSA_0658,0
388919.SSA_0674,0
388919.SSA_0679,0
388919.SSA_0683,1
388919.SSA_0690,0
388919.SSA_0703,0
388919.SSA_0722,0
388919.SSA_0737,0
388919.SSA_0738,0
388919.SSA_0756,1
388919.SSA_0768,1
388919.SSA_0770,1
388919.SSA_0778,0
388919.SSA_0779,0
388919.SSA_0786,1
388919.SSA_0787,1
388919.SSA_0807,1
388919.SSA_0824,1
388919.SSA_0825,1
388919.SSA_0829,0
388919.SSA_0836,0
388919.SSA_0846,1
388919.SSA_0847,1
388919.SSA_0852,0
388919.SSA_0864,0
388919.SSA_0869,1
388919.SSA_0875,0
388919.SSA_0878,1
388919.SSA_0899,0
388919.SSA_0904,0
388919.SSA_0906,0
388919.SSA_0912,1
388919.SSA_0959,0
388919.SSA_0960,0
388919.SSA_0975,0
388919.SSA_0997,1
388919.SSA_0999,1
388919.SSA_1008,0
388919.SSA_1032,0
388919.SSA_1036,0
388919.SSA_1037,0
388919.SSA_1041,0
388919.SSA_1053,0
388919.SSA_1055,0
388919.SSA_1062,1
388919.SSA_1069,0
388919.SSA_1070,0
388919.SSA_1086,1
388919.SSA_1091,1
388919.SSA_1092,1
388919.SSA_1093,0
388919.SSA_1094,1
388919.SSA_1099,0
388919.SSA_1105,1
388919.SSA_1152,1
388919.SSA_1154,0
388919.SSA_1155,0
388919.SSA_1163,0
388919.SSA_1167,1
388919.SSA_1171,0
388919.SSA_1182,0
388919.SSA_1184,1
388919.SSA_1189,1
388919.SSA_1193,0
388919.SSA_1194,0
388919.SSA_1207,0
388919.SSA_1220,1
388919.SSA_1226,1
388919.SSA_1232,1
388919.SSA_1262,0
388919.SSA_1270,0
388919.SSA_1297,0
388919.SSA_1302,1
388919.SSA_1326,0
388919.SSA_1356,0
388919.SSA_1419,1
388919.SSA_1423,0
388919.SSA_1424,0
388919.SSA_1444,0
388919.SSA_1448,0
388919.SSA_1451,0
388919.SSA_1452,1
388919.SSA_1467,0
388919.SSA_1468,0
388919.SSA_1484,1
388919.SSA_1490,0
388919.SSA_1491,1
388919.SSA_1495,1
388919.SSA_1498,1
388919.SSA_1503,0
388919.SSA_1517,0
388919.SSA_1520,1
388919.SSA_1522,1
388919.SSA_1540,0
388919.SSA_1557,1
388919.SSA_1560,0
388919.SSA_1561,0
388919.SSA_1582,0
388919.SSA_1601,0
388919.SSA_1607,0
388919.SSA_1611,0
388919.SSA_1615,0
388919.SSA_1619,1
388919.SSA_1622,1
388919.SSA_1623,1
388919.SSA_1626,0
388919.SSA_1710,0
388919.SSA_1711,0
388919.SSA_1717,0
388919.SSA_1718,0
388919.SSA_1720,0
388919.SSA_1721,1
388919.SSA_1731,0
388919.SSA_1739,1
388919.SSA_1751,0
388919.SSA_1762,0
388919.SSA_1777,0
388919.SSA_1780,0
388919.SSA_1792,0
388919.SSA_1803,1
388919.SSA_1805,1
388919.SSA_1806,1
388919.SSA_1809,0
388919.SSA_1811,1
388919.SSA_1819,1
388919.SSA_1846,0
388919.SSA_1849,0
388919.SSA_1853,0
388919.SSA_1859,0
388919.SSA_1871,1
388919.SSA_1880,1
388919.SSA_1895,0
388919.SSA_1896,0
388919.SSA_1911,0
388919.SSA_1925,1
