index,degree_centrality,eigenvector_centrality,closeness_centrality,betweenness_centrality,subgraph_centrality,load_centrality,harmonic_centrality,reaching_centrality,clustering_centrality,pagerank,degree(mean),degree(mean)(mean),external_edges,external_edges(mean),internal_edges
243277.VC0001,0.0042406573018817,0.0014344213078655,0.372914489643984,0.0,8.513749555154198e+97,0.0,1477.3999999999432,0.3915716936124949,1.0,0.0,65114.4375,72676.06935387042,914280.0,11504559.625,67009.0
243277.VC0002,0.0328650940895838,0.0107610162041927,0.4699077993407012,0.000231416136398,4.79106461528023e+99,0.0002537232685442,1846.4999999999588,0.4893983567452843,0.1362444269603986,1763.0,68926.04838709677,68199.02157473385,7747293.0,12211543.774193548,420532.0
243277.VC0003,0.0927643784786641,0.0382428445637147,0.4976155102181608,0.0009614644838121,6.051290079453067e+100,0.0009165359667817,1995.16666666664,0.52880113084194,0.1748505935325419,3540.0,79549.28,72850.01487480059,20642368.0,14432232.66,3651289.0
243277.VC0004,0.0938245428041346,0.0388476944082318,0.4948553607953977,0.0008419581044514,6.2443166621177784e+100,0.000811445317403,1989.833333333304,0.5273875784079787,0.1803108144876042,3606.0,78440.31355932204,74521.26457617787,19681298.0,14251745.624293786,4099356.0
243277.VC0005,0.0371057513914656,0.0143713459182236,0.4676790803722855,0.0001454939525738,8.5457097860468e+99,0.0001561545761773,1845.8333333332905,0.4892216626910383,0.1911613566289825,1404.0,72995.60714285714,73933.83399693687,8892679.0,13932624.785714284,684471.0
243277.VC0006,0.0649350649350649,0.0283915816922154,0.4831156255728148,0.0004183124103236,3.335371733393639e+100,0.0004189667351337,1923.166666666632,0.5097181729834699,0.2441953830712613,2566.0,84554.28163265306,77173.8248999765,14201277.0,14220063.265306124,3296785.0
243277.VC0007,0.0569838324940365,0.0287124485105286,0.4767839155035947,0.0002154969010613,3.411256986458511e+100,0.0002139187871898,1895.99999999996,0.5025178902729815,0.3343186263855683,1945.0,95210.07441860464,81243.33284717247,13104180.0,15679449.13488372,3731877.0
243277.VC0008,0.0365756692287304,0.0127746575325005,0.4679126863065374,0.0002438896121145,6.752229158255709e+99,0.0002643672766314,1845.9166666666235,0.4892437494478191,0.1673542790648471,2480.0,72588.07246376811,69991.3452149037,8589485.0,11872143.36231884,733333.0
243277.VC0009,0.0164325470447919,0.0039326200030681,0.441972728466944,5.66840976841491e-05,6.398344017950802e+98,7.741611143693076e-05,1744.083333333272,0.4622537326618769,0.2559492332099418,1494.0,53790.40322580645,63930.05742445332,2919216.0,9732903.91935484,218434.0
243277.VC0010,0.0198780811025709,0.0043248432993869,0.4476756023826465,0.0001143998288447,7.738155963353152e+98,0.0001417382584731,1766.499999999946,0.4681950702358695,0.1538738738738738,2145.0,49953.56,62148.74702544118,3352239.0,8890031.306666667,208688.0
243277.VC0011,0.0045056983832494,0.0015189253191245,0.3765117355247941,1.0408789861404321e-07,9.54634842549978e+97,4.3845306272369e-07,1492.6499999999342,0.3956135701033486,0.9852941176470588,796.0,64987.52941176471,72478.96698839962,970189.0,11610564.0,70442.0
243277.VC0012,0.0996554465942221,0.0414471042724525,0.4983435020538305,0.0011373897341265,7.107831784057397e+100,0.0010801965577626,2006.0833333333064,0.531694495980203,0.1797163120567375,3648.0,83412.1675531915,73943.22721672495,21547720.0,14321698.14361702,4967796.0
243277.VC0013,0.1038961038961038,0.0439321052697988,0.4994727795178287,0.0009640919595063,7.985693615379803e+100,0.0009155710504097,2014.16666666664,0.5338369113879246,0.1823816483114985,3674.0,80062.94642857143,74575.37266987482,21969079.0,14755022.346938776,4775918.0
243277.VC0014,0.0691757222369467,0.0260594272265123,0.4882143051391207,0.0005689608673132,2.809714816791431e+100,0.0005635415549599,1941.7499999999693,0.5146435197455524,0.1605658709106985,2941.0,75199.1570881226,70862.82352743583,15902261.0,13810353.394636014,1903903.0
243277.VC0015,0.1049562682215743,0.0455963668739415,0.5004066228556024,0.0010833034026278,8.602222497537117e+100,0.0010252572242184,2017.9166666666404,0.5348308154430533,0.1940928270042194,3655.0,83008.85353535354,74579.54927178829,22281555.0,14896094.893939396,5356446.0
243277.VC0016,0.0045056983832494,0.0015189253191245,0.3765117355247941,1.0408789861404321e-07,9.546348425499891e+97,4.3845306272369e-07,1492.6499999999342,0.3956135701033486,0.9852941176470588,553.0,65081.0,72473.46871850344,970189.0,11610564.0,70442.0
243277.VC0017,0.0071561091969255,0.0018082608544303,0.392196440437801,1.5018258159561766e-05,1.3529036041339136e+98,2.3277267449177186e-05,1558.4166666665965,0.4130444385546153,0.4843304843304843,1073.0,55057.81481481482,66876.52812252057,1301926.0,9315749.407407409,97145.0
