index,ess
62977.ACIAD0001,0
62977.ACIAD0002,1
62977.ACIAD0003,0
62977.ACIAD0004,1
62977.ACIAD0007,0
62977.ACIAD0069,0
62977.ACIAD0076,0
62977.ACIAD0078,0
62977.ACIAD0099,0
62977.ACIAD0144,0
62977.ACIAD0151,1
62977.ACIAD0176,0
62977.ACIAD0185,1
62977.ACIAD0186,1
62977.ACIAD0187,1
62977.ACIAD0206,0
62977.ACIAD0234,1
62977.ACIAD0246,0
62977.ACIAD0263,1
62977.ACIAD0266,0
62977.ACIAD0271,1
62977.ACIAD0278,0
62977.ACIAD0299,0
62977.ACIAD0302,1
62977.ACIAD0304,1
62977.ACIAD0306,1
62977.ACIAD0307,1
62977.ACIAD0308,1
62977.ACIAD0340,0
62977.ACIAD0342,1
62977.ACIAD0384,1
62977.ACIAD0397,0
62977.ACIAD0398,0
62977.ACIAD0399,0
62977.ACIAD0409,0
62977.ACIAD0451,0
62977.ACIAD0479,1
62977.ACIAD0493,1
62977.ACIAD0502,1
62977.ACIAD0515,1
62977.ACIAD0534,0
62977.ACIAD0535,0
62977.ACIAD0540,0
62977.ACIAD0561,1
62977.ACIAD0587,1
62977.ACIAD0590,0
62977.ACIAD0597,1
62977.ACIAD0636,1
62977.ACIAD0648,1
62977.ACIAD0660,1
62977.ACIAD0701,0
62977.ACIAD0707,0
62977.ACIAD0708,0
62977.ACIAD0722,1
62977.ACIAD0724,1
62977.ACIAD0755,0
62977.ACIAD0777,0
62977.ACIAD0779,0
62977.ACIAD0791,1
62977.ACIAD0825,0
62977.ACIAD0826,0
62977.ACIAD0838,0
62977.ACIAD0839,0
62977.ACIAD0841,1
62977.ACIAD0846,0
62977.ACIAD0848,1
62977.ACIAD0861,0
62977.ACIAD0871,1
62977.ACIAD0881,1
62977.ACIAD0883,1
62977.ACIAD0885,0
62977.ACIAD0891,1
62977.ACIAD0893,0
62977.ACIAD0895,0
62977.ACIAD0922,0
62977.ACIAD0967,0
62977.ACIAD1062,0
62977.ACIAD1084,0
62977.ACIAD1089,0
62977.ACIAD1115,0
62977.ACIAD1133,0
62977.ACIAD1137,1
62977.ACIAD1182,0
62977.ACIAD1201,1
62977.ACIAD1204,0
62977.ACIAD1207,0
62977.ACIAD1221,1
62977.ACIAD1234,0
62977.ACIAD1241,0
62977.ACIAD1251,0
62977.ACIAD1252,1
62977.ACIAD1253,1
62977.ACIAD1270,1
62977.ACIAD1298,0
62977.ACIAD1311,1
62977.ACIAD1319,0
62977.ACIAD1348,0
62977.ACIAD1357,1
62977.ACIAD1366,1
62977.ACIAD1373,1
62977.ACIAD1376,1
62977.ACIAD1384,0
62977.ACIAD1385,0
62977.ACIAD1389,1
62977.ACIAD1395,0
62977.ACIAD1404,1
62977.ACIAD1483,0
62977.ACIAD1500,0
62977.ACIAD1545,0
62977.ACIAD1585,0
62977.ACIAD1640,0
62977.ACIAD1669,0
62977.ACIAD1744,0
62977.ACIAD1782,0
62977.ACIAD1890,0
62977.ACIAD1892,0
62977.ACIAD1895,1
62977.ACIAD1906,0
62977.ACIAD1927,1
62977.ACIAD1945,1
62977.ACIAD1946,0
62977.ACIAD1970,1
62977.ACIAD2001,1
62977.ACIAD2003,1
62977.ACIAD2028,1
62977.ACIAD2041,0
62977.ACIAD2056,0
62977.ACIAD2071,0
62977.ACIAD2089,1
62977.ACIAD2102,0
62977.ACIAD2185,0
62977.ACIAD2200,0
62977.ACIAD2206,0
62977.ACIAD2225,0
62977.ACIAD2250,0
62977.ACIAD2261,0
62977.ACIAD2263,0
62977.ACIAD2268,1
62977.ACIAD2269,1
62977.ACIAD2272,0
62977.ACIAD2288,1
62977.ACIAD2296,1
62977.ACIAD2312,0
62977.ACIAD2359,0
62977.ACIAD2361,1
62977.ACIAD2363,1
62977.ACIAD2366,0
62977.ACIAD2367,0
62977.ACIAD2368,0
62977.ACIAD2373,0
62977.ACIAD2375,0
62977.ACIAD2376,1
62977.ACIAD2409,0
62977.ACIAD2411,1
62977.ACIAD2417,0
62977.ACIAD2418,1
62977.ACIAD2422,0
62977.ACIAD2433,1
62977.ACIAD2440,0
62977.ACIAD2446,1
62977.ACIAD2458,1
62977.ACIAD2463,1
62977.ACIAD2474,1
62977.ACIAD2557,0
62977.ACIAD2569,0
62977.ACIAD2581,0
62977.ACIAD2586,0
62977.ACIAD2587,1
62977.ACIAD2594,0
62977.ACIAD2608,1
62977.ACIAD2614,0
62977.ACIAD2615,0
62977.ACIAD2618,1
62977.ACIAD2620,0
62977.ACIAD2632,0
62977.ACIAD2633,0
62977.ACIAD2634,1
62977.ACIAD2635,0
62977.ACIAD2652,1
62977.ACIAD2657,0
62977.ACIAD2729,0
62977.ACIAD2756,0
62977.ACIAD2776,0
62977.ACIAD2838,0
62977.ACIAD2839,1
62977.ACIAD2841,0
62977.ACIAD2853,1
62977.ACIAD2854,0
62977.ACIAD2861,1
